"","gene","n"
"1247","CDRT1",6
"1248","CDRT4",24
"1249","CDS1",3
"1250","CDS2",1
"1251","CDT1",10
"1252","CDX1",4
"1253","CDX2",5
"1254","CDYL",1
"1255","CEACAM1",5
"1256","CEACAM19",1
"1257","CEACAM21",2
"1258","CEACAM3",11
"1259","CEACAM4",2
"1260","CEACAM5",3
"1261","CEACAM6",4
"1262","CEACAM7",11
"1263","CEACAM8",5
"1264","CEBPA",2
"1265","CEBPD",1
"1266","CECR2",2
"1267","CEL",3
"1268","CELF2",3
"1269","CELF3",5
"1270","CELF4",1
"1271","CELF5",1
"1272","CELSR1",2
"1273","CELSR2",1
"1274","CELSR3",8
"1275","CEMIP",8
"1276","CEMIP2",3
"1277","CEND1",5
"1278","CENPA",2
"1279","CENPE",4
"1280","CENPF",7
"1281","CENPH",3
"1282","CENPI",2
"1283","CENPK",2
"1284","CENPL",1
"1285","CENPM",2
"1286","CENPO",2
"1287","CENPS",22
"1288","CENPT",3
"1289","CENPU",3
"1290","CENPV",1
"1291","CEP112",3
"1292","CEP126",1
"1293","CEP128",2
"1294","CEP295NL",8
"1295","CEP350",1
"1296","CEP41",2
"1297","CEP55",4
"1298","CEP68",1
"1299","CEP72",8
"1300","CEP83",1
"1301","CERCAM",2
"1302","CERS1",4
"1303","CERS4",1
"1304","CERS6",3
"1305","CES1",4
"1306","CES2",6
"1307","CES3",6
"1308","CES4A",2
"1309","CETP",4
"1310","CFAP157",14
"1311","CFAP298",3
"1312","CFAP410",10
"1313","CFAP43",2
"1314","CFAP44",2
"1315","CFAP52",17
"1316","CFAP53",1
"1317","CFAP54",1
"1318","CFAP58",3
"1319","CFAP65",3
"1320","CFAP70",1
"1321","CFAP73",1
"1322","CFAP97",2
"1323","CFAP99",3
"1324","CFB",23
"1325","CFD",2
"1326","CFH",3
"1327","CFHR1",1
"1328","CFI",22
"1329","CFL2",4
"1330","CFP",4
"1331","CFTR",9
"1332","CGN",4
"1333","CGNL1",1
"1334","CGREF1",2
"1335","CH25H",3
"1336","CHAC1",2
"1337","CHAD",8
"1338","CHADL",2
"1339","CHAF1B",3
"1340","CHAMP1",1
"1341","CHCHD10",1
"1342","CHD1",1
"1343","CHD1L",24
"1344","CHD4",24
"1345","CHD5",1
"1346","CHD7",3
"1347","CHD9",2
"1348","CHDH",3
"1349","CHEK1",4
"1350","CHEK2",2
"1351","CHFR",1
"1352","CHGA",3
"1353","CHGB",2
"1354","CHI3L1",3
"1355","CHI3L2",2
"1356","CHIT1",9
"1357","CHKA",3
"1358","CHKB",24
"1359","CHL1",4
"1360","CHML",4
"1361","CHMP4A",24
"1362","CHMP4C",3
"1363","CHN1",1
"1364","CHN2",7
"1365","CHODL",4
"1366","CHP2",7
"1367","CHRD",3
"1368","CHRDL1",5
"1369","CHRDL2",3
"1370","CHRFAM7A",8
"1371","CHRM2",8
"1372","CHRM3",1
"1373","CHRM4",5
"1374","CHRM5",12
"1375","CHRNA1",4
"1376","CHRNA10",2
"1377","CHRNA3",3
"1378","CHRNA5",3
"1379","CHRNA7",5
"1380","CHRNB1",1
"1381","CHRNB4",5
"1382","CHRNE",1
"1383","CHRNG",24
"1384","CHST1",2
"1385","CHST10",2
"1386","CHST11",2
"1387","CHST13",1
"1388","CHST15",3
"1389","CHST2",1
"1390","CHST3",4
"1391","CHST4",12
"1392","CHST5",18
"1393","CHST7",2
"1394","CHSY3",5
"1395","CHTF18",1
"1396","CHTF8",24
"1397","CIAO3",1
"1398","CIART",4
"1399","CIB2",2
"1400","CILP",1
"1401","CILP2",1
"1402","CIP2A",3
"1403","CIT",2
"1404","CITED1",4
"1405","CITED4",3
"1406","CKAP2",7
"1407","CKAP2L",3
"1408","CKAP4",1
"1409","CKB",2
"1410","CKLF-CMTM1",2
"1411","CKM",1
"1412","CKMT1A",17
"1413","CKMT1B",9
"1414","CKMT2",18
"1415","CKS2",2
"1416","CLASRP",1
"1417","CLC",1
"1418","CLCA1",3
"1419","CLCA2",1
"1420","CLCA4",7
"1421","CLCN1",5
"1422","CLCN2",4
"1423","CLCN3",4
"1424","CLCN4",8
"1425","CLCN5",1
"1426","CLCN7",1
"1427","CLCNKA",1
"1428","CLCNKB",4
"1429","CLDN1",12
"1430","CLDN14",4
"1431","CLDN16",4
"1432","CLDN18",4
"1433","CLDN2",13
"1434","CLDN20",24
"1435","CLDN23",9
"1436","CLDN3",3
"1437","CLDN4",3
"1438","CLDN5",5
"1439","CLDN7",5
"1440","CLDN9",2
"1441","CLDND2",4
"1442","CLEC10A",2
"1443","CLEC11A",2
"1444","CLEC12A",1
"1445","CLEC14A",4
"1446","CLEC17A",2
"1447","CLEC18A",22
"1448","CLEC18B",2
"1449","CLEC18C",3
"1450","CLEC1A",2
"1451","CLEC2B",1
"1452","CLEC2D",3
"1453","CLEC3B",5
"1454","CLEC4A",24
"1455","CLEC4E",2
"1456","CLEC4F",2
"1457","CLEC5A",4
"1458","CLEC7A",1
"1459","CLGN",1
"1460","CLIC2",2
"1461","CLIC4",3
"1462","CLIC5",8
"1463","CLIC6",2
"1464","CLIP3",4
"1465","CLIP4",5
"1466","CLK1",1
"1467","CLMN",2
"1468","CLMP",6
"1469","CLN3",24
"1470","CLPB",1
"1471","CLRN3",3
"1472","CLSPN",4
"1473","CLSTN2",6
"1474","CLTCL1",1
"1475","CLTRN",2
"1476","CLU",3
"1477","CLUL1",1
"1478","CLVS2",2
"1479","CLYBL",2
"1480","CMA1",1
"1481","CMBL",2
"1482","CMIP",2
"1483","CMKLR1",3
"1484","CMPK2",1
"1485","CMSS1",1
"1486","CMTM1",16
"1487","CMTM2",2
"1488","CMTM3",1
"1489","CMTM4",2
"1490","CMTM7",2
"1491","CMTM8",3
"1492","CMYA5",4
"1493","CNBD2",1
"1494","CNFN",4
"1495","CNGA1",9
"1496","CNGA3",2
"1497","CNGA4",1
"1498","CNIH3",3
"1499","CNKSR1",4
"1500","CNKSR2",3
"1501","CNKSR3",1
"1502","CNN1",6
"1503","CNN3",2
"1504","CNNM1",1
"1505","CNNM4",3
"1506","CNOT1",2
"1507","CNPY2",24
"1508","CNPY4",3
"1509","CNR1",3
"1510","CNR2",1
"1511","CNRIP1",5
"1512","CNTD1",10
"1513","CNTFR",1
"1514","CNTLN",2
"1515","CNTN1",2
"1516","CNTN2",3
"1517","CNTN3",6
"1518","CNTN4",3
"1519","CNTNAP1",4
"1520","CNTNAP2",11
"1521","CNTNAP3",8
"1522","CNTNAP3B",11
"1523","COA8",2
"1524","COBL",2
"1525","COBLL1",2
"1526","COCH",2
"1527","COL10A1",4
"1528","COL11A1",4
"1529","COL12A1",6
"1530","COL13A1",1
"1531","COL14A1",4
"1532","COL15A1",2
"1533","COL16A1",15
"1534","COL17A1",7
"1535","COL18A1",2
"1536","COL19A1",3
"1537","COL1A1",4
"1538","COL1A2",4
"1539","COL21A1",3
"1540","COL22A1",2
"1541","COL24A1",1
"1542","COL25A1",2
"1543","COL27A1",5
"1544","COL28A1",1
"1545","COL2A1",2
"1546","COL3A1",4
"1547","COL4A1",3
"1548","COL4A2",4
"1549","COL4A3",7
"1550","COL4A4",5
"1551","COL4A5",2
"1552","COL4A6",5
"1553","COL5A1",4
"1554","COL5A2",4
"1555","COL5A3",2
"1556","COL6A1",6
"1557","COL6A2",4
"1558","COL6A3",4
"1559","COL6A5",2
"1560","COL6A6",3
"1561","COL7A1",3
"1562","COL8A1",4
"1563","COL8A2",4
"1564","COL9A1",1
"1565","COL9A2",1
"1566","COLCA2",1
"1567","COLEC11",2
"1568","COLEC12",4
"1569","COLGALT2",2
"1570","COLQ",8
"1571","COMMD3",13
"1572","COMP",3
"1573","COMTD1",1
"1574","COPRS",2
"1575","COPS9",2
"1576","COPZ2",4
"1577","COQ6",20
"1578","COQ8A",11
"1579","COQ8B",1
"1580","CORIN",6
"1581","CORO1A",2
"1582","CORO2A",4
"1583","CORO2B",1
"1584","CORO6",5
"1585","CORO7",17
"1586","COX16",24
"1587","COX20",24
"1588","COX4I2",4
"1589","COX6A1",22
"1590","COX6B2",8
"1591","COX6C",1
"1592","COX7A1",3
"1593","COX8A",1
"1594","CP",2
"1595","CPA3",2
"1596","CPA6",10
"1597","CPAMD8",2
"1598","CPD",2
"1599","CPE",6
"1600","CPEB1",3
"1601","CPED1",8
"1602","CPLANE1",2
"1603","CPLX2",3
"1604","CPM",2
"1605","CPNE2",2
"1606","CPNE3",1
"1607","CPNE5",1
"1608","CPNE6",4
"1609","CPNE7",13
"1610","CPNE8",4
"1611","CPNE9",2
"1612","CPO",17
"1613","CPQ",4
"1614","CPS1",1
"1615","CPSF1",1
"1616","CPT1B",24
"1617","CPT1C",5
"1618","CPT2",1
"1619","CPXM1",1
"1620","CPXM2",4
"1621","CPZ",22
"1622","CR1",3
"1623","CR2",5
"1624","CRABP1",2
"1625","CRABP2",2
"1626","CRACR2A",4
"1627","CRACR2B",8
"1628","CRAMP1",2
"1629","CRAT",1
"1630","CRB2",8
"1631","CRB3",3
"1632","CREB3L3",4
"1633","CREB5",3
"1634","CRELD1",8
"1635","CREM",1
"1636","CRHBP",2
"1637","CRIM1",1
"1638","CRIP1",24
"1639","CRIP2",4
"1640","CRIP3",1
"1641","CRISPLD1",4
"1642","CRISPLD2",3
"1643","CRLF1",5
"1644","CRLF2",1
"1645","CRLS1",24
"1646","CRMP1",4
"1647","CROCC",1
"1648","CRPPA",1
"1649","CRTAC1",4
"1650","CRYAB",5
"1651","CRYBB2",16
"1652","CRYBB3",15
"1653","CRYBG1",8
"1654","CRYBG2",8
"1655","CRYGS",1
"1656","CRYM",2
"1657","CSAD",13
"1658","CSDC2",5
"1659","CSE1L",4
"1660","CSF1R",3
"1661","CSF2",4
"1662","CSF2RA",1
"1663","CSF2RB",2
"1664","CSF3",5
"1665","CSF3R",2
"1666","CSGALNACT1",1
"1667","CSMD1",1
"1668","CSMD2",2
"1669","CSNK2A2",6
"1670","CSNK2A3",7
"1671","CSNK2B",21
"1672","CSPG4",4
"1673","CSRNP1",1
"1674","CSRNP3",1
"1675","CSRP1",3
"1676","CSRP2",1
"1677","CST1",3
"1678","CST2",4
"1679","CST4",3
"1680","CTAGE15",7
"1681","CTAGE4",20
"1682","CTAGE8",13
"1683","CTBP1",2
"1684","CTBS",17
"1685","CTDSPL",2
"1686","CTF1",4
"1687","CTH",1
"1688","CTHRC1",4
"1689","CTIF",2
"1690","CTLA4",2
"1691","CTNNA2",2
"1692","CTNNA3",6
"1693","CTNND1",5
"1694","CTRL",6
"1695","CTSC",1
"1696","CTSD",8
"1697","CTSE",4
"1698","CTSF",4
"1699","CTSG",4
"1700","CTSH",1
"1701","CTSL",4
"1702","CTSO",1
"1703","CTSS",1
"1704","CTSV",4
"1705","CTSW",1
"1706","CTTNBP2",11
"1707","CTU1",1
"1708","CTXN1",2
"1709","CTXND1",6
"1710","CUL7",1
"1711","CUL9",1
"1712","CWH43",4
"1713","CX3CL1",3
"1714","CX3CR1",2
"1715","CXADR",6
"1716","CXCL1",8
"1717","CXCL10",5
"1718","CXCL11",5
"1719","CXCL12",1
"1720","CXCL13",1
"1721","CXCL14",4
"1722","CXCL16",1
"1723","CXCL17",4
"1724","CXCL2",3
"1725","CXCL3",6
"1726","CXCL5",5
"1727","CXCL6",2
"1728","CXCL8",2
"1729","CXCL9",7
"1730","CXCR1",6
"1731","CXCR2",7
"1732","CXCR3",4
"1733","CXCR4",1
"1734","CXCR5",9
"1735","CXCR6",6
"1736","CXXC4",1
"1737","CYB5D1",24
"1738","CYB5R2",1
"1739","CYBB",4
"1740","CYBRD1",3
"1741","CYFIP2",5
"1742","CYHR1",1
"1743","CYP19A1",4
"1744","CYP1B1",3
"1745","CYP21A2",4
"1746","CYP24A1",11
"1747","CYP26B1",2
"1748","CYP27A1",1
"1749","CYP27B1",3
"1750","CYP27C1",1
"1751","CYP2A7",2
"1752","CYP2B6",11
"1753","CYP2C18",5
"1754","CYP2C19",3
"1755","CYP2C8",4
"1756","CYP2C9",3
"1757","CYP2D6",1
"1758","CYP2E1",1
"1759","CYP2J2",3
"1760","CYP2S1",4
"1761","CYP2U1",1
"1762","CYP2W1",7
"1763","CYP39A1",2
"1764","CYP3A4",4
"1765","CYP3A5",7
"1766","CYP3A7",1
"1767","CYP4F11",10
"1768","CYP4F12",7
"1769","CYP4F2",11
"1770","CYP4F3",7
"1771","CYP4X1",10
"1772","CYP51A1",22
"1773","CYP7B1",4
"1774","CYREN",6
"1775","CYS1",4
"1776","CYSLTR1",3
"1777","CYSLTR2",4
"1778","CYSRT1",10
"1779","CYTH1",2
"1780","CYTH2",3
"1781","CYTIP",1
"1782","CYTL1",1
"1783","CYYR1",3
"1784","D2HGDH",2
"1785","DAAM2",3
"1786","DAB1",1
"1787","DACH1",6
"1788","DACT1",5
"1789","DACT2",1
"1790","DACT3",4
"1791","DAGLA",2
"1792","DAO",1
"1793","DAPK2",3
"1794","DAPK3",2
"1795","DAPP1",2
"1796","DARS2",2
"1797","DBF4",2
"1798","DBF4B",1
"1799","DBH",9
"1800","DBN1",2
"1801","DBNDD1",11
"1802","DBNDD2",24
"1803","DBP",1
"1804","DCAF4L1",3
"1805","DCAF8",4
"1806","DCC",3
"1807","DCDC2",3
"1808","DCHS1",3
"1809","DCHS2",5
"1810","DCLK1",4
"1811","DCLK2",3
"1812","DCLK3",1
"1813","DCLRE1C",1
"1814","DCN",6
"1815","DCST1",2
"1816","DCST2",8
"1817","DCSTAMP",1
"1818","DCTN6",2
"1819","DCUN1D2",2
"1820","DCX",1
"1821","DDAH1",3
"1822","DDC",11
"1823","DDIAS",5
"1824","DDIT4",10
"1825","DDIT4L",1
"1826","DDN",16
"1827","DDR1",2
"1828","DDR2",3
"1829","DDTL",10
"1830","DDX10",1
"1831","DDX11",3
"1832","DDX19A",10
"1833","DDX19B",1
"1834","DDX21",4
"1835","DDX39A",1
"1836","DDX39B",24
"1837","DDX3Y",8
"1838","DDX43",1
"1839","DDX47",24
"1840","DDX51",1
"1841","DDX60",1
"1842","DECR2",1
"1843","DEF8",1
"1844","DEFA5",10
"1845","DEFA6",9
"1846","DEFB1",4
"1847","DEGS1",2
"1848","DEGS2",3
"1849","DEK",1
"1850","DENND1C",4
"1851","DENND2C",1
"1852","DENND2D",2
"1853","DENND4C",1
"1854","DENND5A",4
"1855","DENND5B",3
"1856","DENND6B",1
"1857","DEPDC1",3
"1858","DEPDC1B",3
"1859","DEPDC7",3
"1860","DEPP1",4
"1861","DERL3",9
"1862","DES",6
"1863","DET1",24
"1864","DEXI",3
"1865","DGAT1",1
"1866","DGAT2",4
"1867","DGKB",5
"1868","DGKD",1
"1869","DGKG",14
"1870","DGKI",5
"1871","DHCR24",3
"1872","DHCR7",3
"1873","DHDH",3
"1874","DHH",2
"1875","DHPS",24
"1876","DHRS11",5
"1877","DHRS13",3
"1878","DHRS2",5
"1879","DHRS4",11
"1880","DHRS4L2",1
"1881","DHRS9",2
"1882","DHX38",1
"1883","DIABLO",24
"1884","DIAPH2",1
"1885","DIAPH3",6
"1886","DIO2",5
"1887","DIO3",3
"1888","DIP2C",3
"1889","DIPK1A",1
"1890","DIPK1B",3
"1891","DIPK2B",3
"1892","DIRAS1",3
"1893","DIRAS3",3
"1894","DISC1",1
"1895","DISP1",1
"1896","DISP2",8
"1897","DISP3",1
"1898","DIXDC1",3
"1899","DKK1",2
"1900","DKK2",3
"1901","DKK3",2
"1902","DKK4",9
"1903","DLAT",1
"1904","DLC1",2
"1905","DLEC1",3
"1906","DLEU7",8
"1907","DLG2",1
"1908","DLG4",1
"1909","DLGAP1",2
"1910","DLGAP3",1
"1911","DLGAP5",3
"1912","DLK2",7
"1913","DLL1",8
"1914","DLX3",13
"1915","DLX4",7
"1916","DMBT1",3
"1917","DMBX1",11
"1918","DMD",3
"1919","DMGDH",4
"1920","DMKN",5
"1921","DMPK",6
"1922","DMRT2",1
"1923","DMRTA2",1
"1924","DMTN",2
"1925","DMXL1",1
"1926","DNA2",2
"1927","DNAAF1",3
"1928","DNAAF3",2
"1929","DNAAF4",13
"1930","DNAH10",1
"1931","DNAH11",6
"1932","DNAH12",1
"1933","DNAH17",15
"1934","DNAH2",8
"1935","DNAH3",7
"1936","DNAH5",5
"1937","DNAH6",12
"1938","DNAH7",2
"1939","DNAH8",1
"1940","DNAH9",3
"1941","DNAJA4",1
"1942","DNAJB1",2
"1943","DNAJB11",1
"1944","DNAJB4",3
"1945","DNAJB5",4
"1946","DNAJB7",15
"1947","DNAJC12",1
"1948","DNAJC22",3
"1949","DNAJC6",5
"1950","DNAJC9",4
"1951","DNALI1",2
"1952","DNASE1L1",3
"1953","DNASE1L2",3
"1954","DNASE1L3",3
"1955","DNER",2
"1956","DNHD1",2
"1957","DNLZ",19
"1958","DNM3",2
"1959","DNMT3B",1
"1960","DOC2A",3
"1961","DOC2B",1
"1962","DOCK10",3
"1963","DOCK11",8
"1964","DOCK2",3
"1965","DOCK3",7
"1966","DOCK4",2
"1967","DOCK5",3
"1968","DOCK7",1
"1969","DOCK8",1
"1970","DOK2",1
"1971","DOK5",4
"1972","DOK6",5
"1973","DOK7",2
"1974","DOP1B",2
"1975","DPEP1",12
"1976","DPF1",2
"1977","DPH7",2
"1978","DPP10",3
"1979","DPP4",5
"1980","DPT",3
"1981","DPY19L2",4
"1982","DPYD",1
"1983","DPYSL2",8
"1984","DPYSL3",6
"1985","DPYSL5",2
"1986","DQX1",4
"1987","DRAM1",1
"1988","DRAXIN",2
"1989","DRD1",2
"1990","DRD2",4
"1991","DRD4",1
"1992","DRICH1",6
"1993","DRP2",1
"1994","DSC2",5
"1995","DSC3",4
"1996","DSCAML1",1
"1997","DSCC1",1
"1998","DSE",2
"1999","DSEL",2
"2000","DSG1",8
"2001","DSG2",5
"2002","DSG3",1
"2003","DSG4",7
"2004","DSP",4
"2005","DST",1
"2006","DSTN",3
"2007","DTD2",1
"2008","DTL",6
"2009","DTNA",4
"2010","DTX1",4
"2011","DTX3",4
"2012","DTX4",2
"2013","DUOX1",4
"2014","DUOX2",8
"2015","DUOXA1",2
"2016","DUOXA2",8
"2017","DUSP1",2
"2018","DUSP10",2
"2019","DUSP14",3
"2020","DUSP15",6
"2021","DUSP16",6
"2022","DUSP2",2
"2023","DUSP26",1
"2024","DUSP3",1
"2025","DUSP4",2
"2026","DUSP5",1
"2027","DYNC1I1",4
"2028","DYNC2H1",2
"2029","DYNLRB1",24
"2030","DYRK3",2
"2031","DYRK4",1
"2032","DYSF",5
"2033","DZIP1",3
"2034","DZIP1L",3
"2035","E2F1",2
"2036","E2F2",2
"2037","E2F5",1
"2038","E2F7",7
"2039","E2F8",3
"2040","E4F1",1
"2041","EBF2",4
"2042","EBF3",4
"2043","EBF4",4
"2044","EBI3",1
"2045","ECEL1",3
"2046","ECH1",1
"2047","ECHDC2",3
"2048","ECHDC3",2
"2049","ECI2",4
"2050","ECM1",1
"2051","ECM2",5
"2052","ECRG4",3
"2053","ECSCR",23
"2054","ECT2",4
"2055","ECT2L",15
"2056","EDA2R",1
"2057","EDAR",13
"2058","EDC3",1
"2059","EDDM13",18
"2060","EDIL3",3
"2061","EDN1",1
"2062","EDN2",4
"2063","EDN3",9
"2064","EDNRA",3
"2065","EDNRB",1
"2066","EEF1A2",3
"2067","EEF1AKMT4",1
"2068","EEF1D",19
"2069","EEF1E1",1
"2070","EEF2KMT",1
"2071","EEPD1",6
"2072","EFCAB10",12
"2073","EFCAB12",2
"2074","EFCAB13",1
"2075","EFCAB2",2
"2076","EFCAB5",3
"2077","EFCAB6",5
"2078","EFCAB8",24
"2079","EFCC1",1
"2080","EFEMP1",7
"2081","EFEMP2",4
"2082","EFHB",5
"2083","EFHC2",1
"2084","EFHD1",3
"2085","EFNA1",2
"2086","EFNA2",5
"2087","EFNA3",4
"2088","EFNA4",2
"2089","EFNA5",1
"2090","EFNB1",1
"2091","EFNB3",1
"2092","EFR3A",1
"2093","EFR3B",2
"2094","EFS",3
"2095","EGF",3
"2096","EGFL6",6
"2097","EGFL7",2
"2098","EGFLAM",3
"2099","EGLN1",19
"2100","EGLN2",24
"2101","EGR1",2
"2102","EGR2",2
"2103","EHBP1L1",3
"2104","EHD2",6
"2105","EHD3",1
"2106","EHF",2
"2107","EID1",3
"2108","EID2",1
"2109","EID2B",4
"2110","EID3",1
"2111","EIF1AY",6
"2112","EIF2S3B",2
"2113","EIF3C",24
"2114","EIF3CL",21
"2115","EIF4A1",24
"2116","EIF4EBP3",22
"2117","EIF5A2",2
"2118","EIF5AL1",23
"2119","ELANE",3
"2120","ELAVL2",4
"2121","ELAVL4",2
"2122","ELF3",7
"2123","ELF5",1
"2124","ELFN1",1
"2125","ELFN2",2
"2126","ELL3",24
"2127","ELMO1",2
"2128","ELMO3",4
"2129","ELMOD1",1
"2130","ELN",6
"2131","ELOVL2",10
"2132","ELOVL4",4
"2133","ELOVL5",1
"2134","ELOVL6",5
"2135","ELOVL7",1
"2136","EMB",1
"2137","EMC6",24
"2138","EMCN",5
"2139","EME1",3
"2140","EME2",4
"2141","EMILIN1",6
"2142","EMILIN3",2
"2143","EML1",4
"2144","EML4",1
"2145","EML6",4
"2146","EMP1",1
"2147","EMP2",1
"2148","EMP3",1
"2149","ENAH",1
"2150","ENDOD1",4
"2151","ENDOG",14
"2152","ENDOU",1
"2153","ENG",1
"2154","ENKD1",1
"2155","ENKUR",3
"2156","ENO3",2
"2157","ENO4",1
"2158","ENOSF1",1
"2159","ENOX1",5
"2160","ENPEP",3
"2161","ENPP1",1
"2162","ENPP2",3
"2163","ENPP3",8
"2164","ENPP4",1
"2165","ENPP5",7
"2166","ENPP6",1
"2167","ENTPD1",2
"2168","ENTPD2",3
"2169","ENTPD5",7
"2170","ENTPD6",1
"2171","ENTPD7",2
"2172","ENTPD8",12
"2173","EOMES",1
"2174","EP300",1
"2175","EPB41L1",5
"2176","EPB41L2",3
"2177","EPB41L3",2
"2178","EPB41L4A",8
"2179","EPB41L4B",3
"2180","EPCAM",3
"2181","EPDR1",6
"2182","EPHA1",4
"2183","EPHA10",7
"2184","EPHA2",3
"2185","EPHA3",3
"2186","EPHA7",1
"2187","EPHB1",5
"2188","EPHB2",7
"2189","EPHB3",10
"2190","EPHX2",2
"2191","EPHX3",2
"2192","EPHX4",7
"2193","EPM2A",3
"2194","EPM2AIP1",1
"2195","EPN2",2
"2196","EPN3",6
"2197","EPOP",12
"2198","EPOR",1
"2199","EPPK1",2
"2200","EPS15",1
"2201","EPS8L1",3
"2202","EPS8L3",4
"2203","EPSTI1",1
"2204","EPYC",13
"2205","ERAP2",3
"2206","ERBB2",3
"2207","ERBB3",3
"2208","ERBIN",1
"2209","ERC2",1
"2210","ERCC1",1
"2211","ERCC5",24
"2212","ERCC6L",7
"2213","EREG",10
"2214","ERFE",1
"2215","ERFL",2
"2216","ERG",1
"2217","ERICH1",1
"2218","ERICH5",1
"2219","ERMP1",4
"2220","ERN2",5
"2221","ERO1A",2
"2222","ERP27",6
"2223","ERRFI1",2
"2224","ERV3-1",4
"2225","ERVFRD-1",7
"2226","ERVH48-1",15
"2227","ERVMER34-1",5
"2228","ERVW-1",1
"2229","ESAM",1
"2230","ESCO2",5
"2231","ESM1",2
"2232","ESPL1",3
"2233","ESPN",4
"2234","ESPNL",3
"2235","ESRP1",3
"2236","ESRP2",3
"2237","ESRRB",2
"2238","ESRRG",10
"2239","ESYT1",1
"2240","ESYT3",2
"2241","ETFB",14
"2242","ETHE1",6
"2243","ETNK2",1
"2244","ETS2",2
"2245","ETV1",5
"2246","ETV2",2
"2247","ETV4",11
"2248","ETV5",4
"2249","ETV7",2
"2250","EVA1A",4
"2251","EVC",4
"2252","EVC2",5
"2253","EVI2A",2
"2254","EVI2B",1
"2255","EVL",2
"2256","EVPL",10
"2257","EVX1",6
"2258","EXO1",5
"2259","EXOC2",1
"2260","EXOC3L2",1
"2261","EXOC3L4",9
"2262","EXOC6",1
"2263","EXOC6B",1
"2264","EXOC7",1
"2265","EXPH5",5
"2266","EXTL1",2
"2267","EYA1",6
"2268","EYA2",2
"2269","EYA4",2
"2270","EYS",21
"2271","EZH2",2
"2272","EZR",2
"2273","F10",2
"2274","F11R",2
"2275","F12",3
"2276","F13A1",4
"2277","F2R",3
"2278","F2RL1",6
"2279","F2RL2",5
"2280","F2RL3",2
"2281","F3",3
"2282","F5",2
"2283","F7",5
"2284","F8",1
"2285","F8A1",1
"2286","F8A2",22
"2287","FA2H",4
"2288","FAAH",4
"2289","FAAH2",3
"2290","FAAP24",1
"2291","FABP1",8
"2292","FABP2",2
"2293","FABP3",5
"2294","FABP4",1
"2295","FABP5",14
"2296","FABP6",8
"2297","FADD",24
"2298","FADS1",3
"2299","FADS2",2
"2300","FADS3",1
"2301","FAHD2B",6
"2302","FAIM2",3
"2303","FAM107A",3
"2304","FAM110B",4
"2305","FAM110C",3
"2306","FAM110D",5
"2307","FAM111B",6
"2308","FAM117A",1
"2309","FAM117B",4
"2310","FAM118A",1
"2311","FAM120C",2
"2312","FAM124A",4
"2313","FAM124B",3
"2314","FAM126A",1
"2315","FAM131B",3
"2316","FAM131C",6
"2317","FAM133B",1
"2318","FAM135A",3
"2319","FAM13C",3
"2320","FAM151A",11
"2321","FAM153A",5
"2322","FAM156A",24
"2323","FAM162A",1
"2324","FAM162B",3
"2325","FAM163A",2
"2326","FAM163B",3
"2327","FAM166A",1
"2328","FAM166B",1
"2329","FAM166C",2
"2330","FAM167A",1
"2331","FAM167B",3
"2332","FAM169A",3
"2333","FAM171A1",1
"2334","FAM171A2",1
"2335","FAM171B",3
"2336","FAM177B",3
"2337","FAM178B",4
"2338","FAM180A",4
"2339","FAM180B",2
"2340","FAM181B",1
"2341","FAM183A",2
"2342","FAM184A",1
"2343","FAM184B",2
"2344","FAM186A",23
"2345","FAM186B",2
"2346","FAM189A1",4
"2347","FAM189A2",3
"2348","FAM193B",3
"2349","FAM209A",1
"2350","FAM209B",5
"2351","FAM20B",1
"2352","FAM216A",3
"2353","FAM216B",7
"2354","FAM217B",10
"2355","FAM219A",1
"2356","FAM219B",24
"2357","FAM221B",3
"2358","FAM222A",2
"2359","FAM227A",1
"2360","FAM227B",8
"2361","FAM228A",1
"2362","FAM228B",5
"2363","FAM229A",5
"2364","FAM229B",4
"2365","FAM241A",24
"2366","FAM241B",1
"2367","FAM24B",1
"2368","FAM3B",14
"2369","FAM3C",1
"2370","FAM3D",8
"2371","FAM43B",3
"2372","FAM47E",2
"2373","FAM50A",1
"2374","FAM50B",1
"2375","FAM53A",1
"2376","FAM71E1",3
"2377","FAM71F2",1
"2378","FAM72A",5
"2379","FAM72C",2
"2380","FAM72D",6
"2381","FAM78B",1
"2382","FAM81A",6
"2383","FAM83A",3
"2384","FAM83B",8
"2385","FAM83D",3
"2386","FAM83E",22
"2387","FAM83F",5
"2388","FAM83G",3
"2389","FAM83H",3
"2390","FAM86B1",8
"2391","FAM86B2",24
"2392","FAM89B",24
"2393","FAM8A1",1
"2394","FAM90A1",5
"2395","FAM91A1",1
"2396","FANCA",2
"2397","FANCB",8
"2398","FANCD2",2
"2399","FANCG",4
"2400","FANCI",2
"2401","FANCL",1
"2402","FANK1",2
"2403","FAP",2
"2404","FARP1",2
"2405","FARP2",5
"2406","FASN",5
"2407","FAT1",15
"2408","FAT2",21
"2409","FAT3",12
"2410","FAT4",5
"2411","FAXC",2
"2412","FAXDC2",4
"2413","FBF1",2
"2414","FBLN1",3
"2415","FBLN2",3
"2416","FBLN5",6
"2417","FBLN7",1
"2418","FBN1",4
"2419","FBN2",5
"2420","FBP1",2
"2421","FBXL13",2
"2422","FBXL16",7
"2423","FBXL17",1
"2424","FBXL2",4
"2425","FBXL22",7
"2426","FBXL4",1
"2427","FBXL7",6
