"","gene","n"
"285","AMIGO2",2
"286","AMMECR1",2
"287","AMN",13
"288","AMOT",12
"289","AMOTL1",4
"290","AMPD1",3
"291","AMPD3",1
"292","AMPH",3
"293","AMT",24
"294","AMY2B",12
"295","ANAPC10",2
"296","ANAPC15",21
"297","ANG",19
"298","ANGPT1",3
"299","ANGPT2",4
"300","ANGPTL1",5
"301","ANGPTL2",4
"302","ANGPTL3",21
"303","ANGPTL4",6
"304","ANGPTL5",1
"305","ANGPTL6",10
"306","ANGPTL7",9
"307","ANGPTL8",8
"308","ANK1",4
"309","ANK2",4
"310","ANK3",5
"311","ANKAR",1
"312","ANKDD1A",4
"313","ANKDD1B",4
"314","ANKEF1",4
"315","ANKHD1",24
"316","ANKHD1-EIF4EBP3",24
"317","ANKK1",1
"318","ANKRD10",2
"319","ANKRD13B",5
"320","ANKRD18A",3
"321","ANKRD20A1",23
"322","ANKRD22",4
"323","ANKRD23",24
"324","ANKRD24",6
"325","ANKRD29",3
"326","ANKRD31",7
"327","ANKRD33B",2
"328","ANKRD34A",1
"329","ANKRD35",3
"330","ANKRD36B",2
"331","ANKRD36C",4
"332","ANKRD37",4
"333","ANKRD40CL",6
"334","ANKRD44",1
"335","ANKRD45",4
"336","ANKRD50",1
"337","ANKRD53",4
"338","ANKRD6",3
"339","ANKRD61",21
"340","ANKRD65",4
"341","ANKRD9",1
"342","ANKS1B",3
"343","ANKS3",1
"344","ANKS4B",4
"345","ANLN",7
"346","ANO2",1
"347","ANO3",1
"348","ANO4",2
"349","ANO5",1
"350","ANO6",1
"351","ANO7",7
"352","ANO8",2
"353","ANO9",4
"354","ANOS1",2
"355","ANPEP",2
"356","ANTKMT",1
"357","ANTXR1",4
"358","ANTXR2",3
"359","ANXA1",2
"360","ANXA10",1
"361","ANXA13",1
"362","ANXA2R",2
"363","ANXA3",4
"364","ANXA6",5
"365","ANXA9",18
"366","AOAH",6
"367","AOC1",5
"368","AOC2",1
"369","AOC3",3
"370","AOPEP",2
"371","AOX1",3
"372","AP1G2",19
"373","AP1M2",3
"374","AP1S2",2
"375","AP1S3",3
"376","AP3B2",1
"377","AP4B1",1
"378","APBA1",1
"379","APBA2",2
"380","APBB1",4
"381","APBB1IP",2
"382","APC2",19
"383","APCDD1",7
"384","APCDD1L",6
"385","APELA",1
"386","APIP",2
"387","APLF",11
"388","APLN",1
"389","APLNR",1
"390","APLP1",1
"391","APOB",7
"392","APOBEC1",3
"393","APOBEC2",18
"394","APOBEC3A",3
"395","APOBEC3B",5
"396","APOBEC3C",3
"397","APOBEC3D",19
"398","APOBEC3F",1
"399","APOBEC3G",1
"400","APOBEC3H",1
"401","APOBEC4",9
"402","APOBR",12
"403","APOC1",3
"404","APOD",3
"405","APOE",2
"406","APOL1",1
"407","APOL2",1
"408","APOL6",2
"409","APOLD1",2
"410","APOM",5
"411","AQP1",4
"412","AQP11",8
"413","AQP3",3
"414","AQP5",5
"415","AQP6",2
"416","AQP7",4
"417","AQP8",4
"418","AQP9",5
"419","AR",7
"420","ARAP2",3
"421","ARAP3",1
"422","ARC",1
"423","AREG",7
"424","ARFGAP1",2
"425","ARFGEF2",3
"426","ARFGEF3",3
"427","ARG2",1
"428","ARHGAP10",5
"429","ARHGAP11A",2
"430","ARHGAP15",2
"431","ARHGAP20",3
"432","ARHGAP22",2
"433","ARHGAP23",2
"434","ARHGAP24",4
"435","ARHGAP25",1
"436","ARHGAP26",2
"437","ARHGAP27",1
"438","ARHGAP28",2
"439","ARHGAP31",2
"440","ARHGAP32",3
"441","ARHGAP33",2
"442","ARHGAP39",2
"443","ARHGAP44",6
"444","ARHGAP8",21
"445","ARHGAP9",3
"446","ARHGDIB",1
"447","ARHGEF1",1
"448","ARHGEF10",23
"449","ARHGEF15",2
"450","ARHGEF16",3
"451","ARHGEF17",3
"452","ARHGEF18",6
"453","ARHGEF19",1
"454","ARHGEF25",17
"455","ARHGEF26",4
"456","ARHGEF28",1
"457","ARHGEF33",1
"458","ARHGEF35",12
"459","ARHGEF37",2
"460","ARHGEF38",3
"461","ARHGEF39",2
"462","ARHGEF4",2
"463","ARHGEF5",4
"464","ARHGEF6",3
"465","ARID2",1
"466","ARID3A",2
"467","ARID5A",1
"468","ARID5B",5
"469","ARL10",1
"470","ARL11",1
"471","ARL13A",13
"472","ARL14",13
"473","ARL16",3
"474","ARL17A",24
"475","ARL17B",16
"476","ARL2",2
"477","ARL2BP",24
"478","ARL4C",3
"479","ARL4D",4
"480","ARL5B",1
"481","ARL6IP4",24
"482","ARL9",3
"483","ARMC12",5
"484","ARMC2",3
"485","ARMC5",1
"486","ARMC9",2
"487","ARMCX1",3
"488","ARMCX2",5
"489","ARMCX4",1
"490","ARMCX5-GPRASP2",7
"491","ARMCX6",7
"492","ARMH1",1
"493","ARMH4",3
"494","ARNT2",2
"495","ARPC1A",23
"496","ARPC1B",24
"497","ARR3",1
"498","ARRDC1",2
"499","ARRDC2",6
